Date,IBEX
2000/1/1,11641.40039
2000/2/1,10840
2000/3/1,12585.79981
2000/4/1,11935
2000/5/1,11569.2002
2000/6/1,10688.5
2000/7/1,10581.29981
2000/8/1,10531.59961
2000/9/1,10938.59961
2000/10/1,10950
2000/11/1,10382.59961
2000/12/1,9260.5
2001/1/1,9109.799805
2001/2/1,10116
2001/3/1,9509
2001/4/1,9308.299805
2001/5/1,9761
2001/6/1,9498.900391
2001/7/1,8878.400391
2001/8/1,8480
2001/9/1,8321.099609
2001/10/1,7314
2001/11/1,7765
2001/12/1,8302.900391
2002/1/1,8397.599609
2002/2/1,8067
2002/3/1,8118.399902
2002/4/1,8235.799805
2002/5/1,8202.200195
2002/6/1,7917.5
2002/7/1,6851.399902
2002/8/1,6250.399902
2002/9/1,6433
2002/10/1,5477.200195
2002/11/1,6271.700195
2002/12/1,6659.600098
2003/1/1,6050.600098
2003/2/1,5989.399902
2003/3/1,6025.700195
2003/4/1,5900.799805
2003/5/1,6471.899902
2003/6/1,6551.5
2003/7/1,6877.5
2003/8/1,7027.799805
2003/9/1,7156.399902
2003/10/1,6722.299805
2003/11/1,7138.200195
2003/12/1,7284.600098
2004/1/1,7746.100098
2004/2/1,7937.200195
2004/3/1,8277.099609
2004/4/1,8039.899902
2004/5/1,8084.100098
2004/6/1,7932.399902
2004/7/1,8095.799805
2004/8/1,7880
2004/9/1,7894.799805
2004/10/1,8037.700195
2004/11/1,8468.099609
2004/12/1,8676.5
2005/1/1,9085.200195
2005/2/1,9218.900391
2005/3/1,9372.200195
2005/4/1,9254.700195
2005/5/1,9027.900391
2005/6/1,9455.400391
2005/7/1,9731
2005/8/1,10122.59961
2005/9/1,10049.90039
2005/10/1,10835.79981
2005/11/1,10469.40039
2005/12/1,10580
2006/1/1,10725.79981
2006/2/1,11030.5
2006/3/1,11764.59961
2006/4/1,11923.5
2006/5/1,11843.29981
2006/6/1,11327.7002
2006/7/1,11527.90039
2006/8/1,11806.90039
2006/9/1,12152.2002
2006/10/1,12937.2002
2006/11/1,13769.2002
2006/12/1,13910.5
2007/1/1,14173.2002
2007/2/1,14637.5
2007/3/1,14228.59961
2007/4/1,14619.90039
2007/5/1,14421.79981
2007/6/1,15330.40039
2007/7/1,14790.79981
2007/8/1,14508.90039
2007/9/1,14517.7002
2007/10/1,14519
2007/11/1,15864.09961
2007/12/1,15767.09961
2008/1/1,15101.90039
2008/2/1,13440.7002
2008/3/1,12998
2008/4/1,13205.59961
2008/5/1,13916.2002
2008/6/1,13610.5
2008/7/1,12028.5
2008/8/1,11719
2008/9/1,11607.5
2008/10/1,11064.29981
2008/11/1,9185.799805
2008/12/1,8914
2009/1/1,9262
2009/2/1,8275.400391
2009/3/1,7428.600098
2009/4/1,7761.299805
2009/5/1,9048.099609
2009/6/1,9554.799805
2009/7/1,9798.099609
2009/8/1,10809.90039
2009/9/1,11434
2009/10/1,11766.59961
