Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,0.780000,0.917000,0.728000,0.881000,0.881000,0
2013-02-01,0.896000,0.910000,0.746000,0.769000,0.769000,0
2013-03-01,0.748000,0.921000,0.724000,0.769000,0.769000,0
2013-04-01,0.790000,0.790000,0.650000,0.678000,0.678000,0
2013-05-01,0.665000,1.089000,0.641000,1.053000,1.053000,0
2013-06-01,1.063000,1.557000,0.947000,1.385000,1.385000,0
2013-07-01,1.425000,1.611000,1.282000,1.391000,1.391000,0
2013-08-01,1.386000,1.724000,0.323000,1.601000,1.601000,0
2013-09-01,1.680000,1.848000,1.381000,1.388000,1.388000,0
2013-10-01,1.409000,1.472000,1.250000,1.315000,1.315000,0
2013-11-01,1.359000,1.460000,1.289000,1.367000,1.367000,0
2013-12-01,1.405000,1.756000,1.385000,1.748000,1.748000,0
2014-01-01,1.750000,1.777000,1.485000,1.510000,1.510000,0
2014-02-01,1.515000,1.582000,1.422000,1.511000,1.511000,0
2014-03-01,1.471000,1.786000,1.451000,1.732000,1.732000,0
2014-04-01,1.730000,1.811000,1.001000,1.681000,1.681000,0
2014-05-01,1.690000,1.765000,1.465000,1.528000,1.528000,0
2014-06-01,1.562000,1.758000,1.552000,1.625000,1.625000,0
2014-07-01,1.648000,1.807000,1.610000,1.763000,1.763000,0
2014-08-01,1.771000,1.789000,1.495000,1.628000,1.628000,0
2014-09-01,1.661000,1.874000,1.628000,1.780000,1.780000,0
2014-10-01,1.747000,1.768000,1.118000,1.613000,1.613000,0
2014-11-01,1.608000,1.701000,1.511000,1.511000,1.511000,0
2014-12-01,1.469000,1.791000,1.454000,1.653000,1.653000,0
2015-01-01,1.686000,1.705000,1.159000,1.187000,1.187000,0
2015-02-01,1.189000,1.636000,1.168000,1.505000,1.505000,0
2015-03-01,1.509000,1.711000,1.340000,1.375000,1.375000,0
2015-04-01,1.341000,1.507000,1.260000,1.442000,1.442000,0
2015-05-01,1.456000,1.635000,1.447000,1.467000,1.467000,0
2015-06-01,1.492000,1.809000,1.471000,1.628000,1.628000,0
2015-07-01,1.699000,1.752000,1.473000,1.548000,1.548000,0
2015-08-01,1.552000,1.671000,1.292000,1.541000,1.541000,0
2015-09-01,1.504000,1.614000,1.372000,1.375000,1.375000,0
2015-10-01,1.365000,1.558000,1.215000,1.528000,1.528000,0
